key,en,es
GAME_TITLE,In Our Minds: Video Game & Framework,In Our Minds: Videojuego & Framework
START_GAME,Start Game,Empezar Partida
GAME_OPTIONS,Options,Opciones
LANGUAGE_SELECTION,Language Selection,Selección de Idioma
LANGUAGE_ES,Spanish,Español
LANGUAGE_EN,English,Inglés
SCREEN_OPTIONS,Screen Options,Opciones de Pantalla
FULLSCREEN_MODE,Fullscreen,Pantalla Completa
SOUND_SETTINGS,Sound Options,Opciones de Sonido
MASTER_SLIDER,General,General
SFX_SLIDER,Sound Effects,Efectos de Sonido
MUSIC_SLIDER,Music,Música
EXIT_GAME,Exit Game,Salir del Juego
ABOUT_TEXT,"In Our Minds has been developed using Godot Engine 4.0 and GDScript, along with integrating third-party tools and plugins. It is participating in the Game Jam “Safe In Our World Mental Health Game Dev Champions 2024” which aims to provide a reflective experience that allows players to explore and better understand their own mental health through video games. It has been decided to release the source code as a “Framework” on GitHub to allow other designers or developers to modify, contribute, or personally use it as a working template under MIT license.\nDisclaimer: This demo incorporates third-party resources with their own license, whose rights are owned by Entiende Tu Mente (ETM). These resources have been used exclusively for demonstration purposes within the playable demo.\nThis work may receive future updates. If you have any questions, please contact me through the GitHub repository or via email at daniel.guerra.gallardo99@gmail.com (@DakkuaDev). ","In Our Minds se ha desarrollado utilizando Godot Engine 4.0 y GDScript, junto con la integración de herramientas y complementos de terceros. La misma, está participando en la Game Jam ""Safe In Our World Mental Health Game Dev Champions 2024"" que tiene como objetivo ofrecer una experiencia reflexiva que permita a los jugadores explorar y comprender mejor su propia salud mental a través del videojuego. Se ha decidido liberar el código fuente a modo de ""Framework"" en Github que permita a otros diseñadores o desarrolladores su modificación, contribución o uso personal de la misma como plantilla de trabajo bajo licencia MIT. \nDisclaimer: Esta demostración incorpora recursos de terceros con su propia licencia, cuyos derechos son propiedad de Entiende Tu Mente (ETM). Estos recursos se han utilizado exclusivamente con fines demostrativos dentro de la demo jugable.\n Es posible que este trabajo reciba actualizaciones futuras. Para cualquier tipo de consulta, se puede contactar conmigo directamente a través del repositorio de Github o vía email en daniel.guerra.gallardo99@gmail.com (@DakkuaDev). "
CREDITS_TEXT,"Daniel Guerra (@DakkuaDev) - Developer\nSandro Alvoz(@sandroalvoz) - Assistant Developer\nPablo López - 3D Art and Textures\nÁngel Guerra - User Interface Elements\n\nblackears (@blackears) - cyclopsLevelBuilder addon\nMahmood (@maktoobgar) - scene_manager addon\n\n https://pixabay.com/  - Music and Sound Effects\n""Entiende Tu Mente"", ETM - Podcast (Resources)
","Daniel Guerra (@DakkuaDev) - Desarrollador\nSandro Alvoz(@sandroalvoz) - Desarrollador Asistente\nPablo López - Arte 3D y Texturas\nÁngel Guerra - Elementos de Interfaz Gráfica\n\nblackears (@blackears) - cyclopsLevelBuilder addon\nMahmood (@maktoobgar) - scene_manager addon\n\n https://pixabay.com/ - Música y Efectos Sonoros\n ""Entiende Tu Mente"", ETM - Podcast (Recursos)"
PAUSE_GAME,Pause,Pausa
CONTINUE_GAME,Continue,Continuar
EXIT_MAIN_MENU,Exit to Main Menu,Salir al Menu Principal
LEVEL_1_NAME,Basic Movement,Movimiento Básico
LEVEL_2_NAME,Basic Camera Turn,Movimiento Básico de Cámara
LEVEL_3_NAME,Impulse,Impulso
LEVEL_4_NAME,Fear and Isolation,Miedo y Aislamiento
LEVEL_5_NAME,Panic and Despair,Pánico y Desesperación
