key,en,es
GAME_TITLE,In Our Minds: Mental Health and Videogames,In Our Minds: Salud Mental y Videojuegos
START_GAME,Start Game,Empezar Partida
GAME_OPTIONS,Options,Opciones
LANGUAGE_SELECTION,Language Selection,Selección de Idioma
LANGUAGE_ES,Spanish,Español
LANGUAGE_EN,English,Inglés
SCREEN_OPTIONS,Screen Options,Opciones de Pantalla
FULLSCREEN_MODE,Fullscreen,Pantalla Completa
SOUND_OPTIONS,Sound Options,Opciones de Sonido
MASTER_SLIDER,General,General
SFX_SLIDER,Sound Effects,Efectos de Sonido
MUSIC_SLIDER,Music,Música
EXIT_GAME,Exit Game,Salir del Juego
ABOUT_TEXT,"In Our Minds: Video Games and Mental Health is a casual platform video game developed using Godot Engine 4.0, and GDScript, third party addons and the collaboration of several members, which explores various concepts about human emotions through scenarios, levels and resources within the video game. The playable demo, although very simple, tries to demonstrate the potential of the engine or tool that has been developed for the creation of this type of experiences, and that can be found openly and free for modification or personal use through Github. It makes use of third party addons or tools, also free to use and named in the credits (MIT License).
The resources in Podcast format used belong to 'Entiende Tu Mente'. All rights are property of ETM and have only been used as demonstration for the demo. 
Any bug report, improvement suggestion or doubt, you can contact me directly through the Github or the email, 'daniel.guerra.gallardo99@gmail.com' @DakkuaDev","In Our Minds: Videojuegos y Salud Mental es un videojuegos de plataformas casual desarrollado haciendo uso de Godot Engine 4.0, y GDScript, addons de terceros y la colaboración de varios integrantes, que explora varios conceptos sobre emociones humanas a través de escenarios, niveles y recursos dentro del videojuego. La demo jugable, aunque muy sencilla, trata de demostrar el potencial del motor o herramienta que se ha tratado de desarrollar para la creación de este tipo de experiencias, y que se puede encontrar de manera abierta y gratuita para su modificación o uso personal a través de Github. La misma hace uso de addons o herramientas de terceros, también de uso libre y nombradas en los créditos. (Licencia MIT)
Los recursos en formato Podcast usados pertenecen a 'Entiende Tu Mente'. Todos los derechos de los mismos son propiedad de ETM y solo se han utilizado como demostración para la demo. 
Cualquier reporte de fallo, sugerencia de mejora o duda, podeís poneros en contacto directo conmigo a través del Github o el correo electrónico, 'daniel.guerra.gallardo99@gmail.com' @DakkuaDev"
